"gene_id","baseMean_clay","baseMean_sandy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g2147",3.13369827936348,0.48969406669828,1.81169617303088,2.49919933632434,1.02346214639771,2.44190695779107,0.0146099114195056,0.0483653637684908
"g2181",11.6657582175551,3.74229585791308,7.7040270377341,1.52148918362294,0.466228328344176,3.26339926410425,0.00110084311879004,0.0127257464532128
"g2184",53.915039451253,112.146342221649,83.0306908364508,-1.05871434328088,0.374097068168302,-2.83005250071774,0.0046540366436294,0.0284646382932953
"g221",3.86560175275048,0.340969414032815,2.10328558339165,2.73457785656191,0.971302140624163,2.81537303604073,0.0048720643951333,0.028735236942725
"g222",2.62124789751647,0.233647711173852,1.42744780434516,2.62021440558269,1.01363576424815,2.58496641298584,0.00973884838538877,0.039992150063192
"g2222",3.25723247289668,1.02491247861148,2.14107247575408,1.72630023748197,0.94123477853523,1.83408037702185,0.0666420638042462,0.129609769637346
"g2236",0.998937645063973,3.44777415657486,2.22335590081942,-2.02658812836738,0.76696553987043,-2.64234574177836,0.00823339608612448,0.0373281584848252
"g2256",3.57191958985756,0.688959706023123,2.13043964794034,2.1701038190227,0.916166167001629,2.36867928241105,0.0178517260311915,0.0533317627606852
"g23",2.4352294311813,0.285838000053306,1.3605337156173,2.62127514846475,1.01663311784598,2.57838850854933,0.00992623259461338,0.039992150063192
"g2346",6.95754565495905,4.78726207426285,5.87240386461095,0.450743377289942,0.521444372735318,0.864413158637608,0.387360966868659,0.453228013866568
"g2347",1.20636587855807,2.29390374397431,1.75013481126619,-0.568733940219386,0.947260329857099,-0.600398773487309,0.548240505024434,0.609390407507929
"g2385",1.51650897045048,1.23428510037879,1.37539703541463,0.611742790390406,0.963348593008313,0.635017059069008,0.525417289131842,0.586276434591129
"g2450",2.15705914232972,0.759977367632713,1.45851825498122,1.54119843100695,1.04248418498279,1.47839022712119,0.139303359708705,0.206413827538302
"g2462",2.37276272838944,0.780473714331057,1.57661822136025,1.55619764452504,0.998102010328289,1.55915690823344,0.118959247127833,0.184834529139483
"g2481",3.48472747016321,1.24117328522823,2.36295037769572,1.50217078020446,0.790044554968179,1.90137476520545,0.0572529424293622,0.118110466914298
"g2493",8.10850477623832,7.42235088932597,7.76542783278214,0.107496786495656,0.396507314487316,0.27110921430201,0.786307034898871,0.814490082744708
"g2500",2.04873501642988,1.3337661461515,1.69125058129069,0.824670128075387,0.945659948465454,0.872057793516158,0.383176849803132,0.450154917045143
"g2510",14.5626273779983,4.2022244125269,9.38242589526261,1.71948694677116,0.441381071040515,3.89569707354607,9.79167077884492e-05,0.00217676373468168
"g2526",2.29539914616801,0.231431551930747,1.26341534904938,2.610011242528,1.04358704556578,2.50100003983182,0.0123843164477728,0.0447383431675792
"g2543",3.29439183016444,1.99631082755238,2.64535132885841,0.956815694190185,0.780493892537476,1.22591054630737,0.220232339622146,0.290626238131507
"g2554",2.81009752370711,1.21484097901442,2.01246925136077,1.43523075086292,0.866449039506921,1.65645143040344,0.0976304332073501,0.164198179211513
"g2580",5.7986596778197,1.77935832440851,3.78900900111411,1.9474497550377,0.737394153493646,2.64098887387569,0.00826644340148378,0.0373281584848252
"g2625",15.4881237481883,1.81719885729345,8.65266130274088,2.94181791001659,0.609362224700657,4.82769983233164,1.38119066645486e-06,9.97910256513636e-05
"g2698",3.92608445425837,2.9030305396368,3.41455749694759,0.435827164554927,0.586266324205807,0.743394506149276,0.457242869467169,0.522305095952616
"g2719",5.55744849818583,1.81195235568889,3.68470042693736,1.68081281823197,0.715489654340945,2.34917836761764,0.0188148913101136,0.0543750358862284
"g2738",2.29757879297992,0.16983408031904,1.23370643664948,2.5829566146893,1.05045145490447,2.45890145863446,0.0139362864250146,0.0471210336087035
"g2828",2.5091111229504,1.05068479842027,1.77989796068533,1.42228108450787,0.908626275409505,1.56530921788154,0.11751042281109,0.183570336175163
"g2836",2.37506332387367,0.74063992429147,1.55785162408257,1.6664317990743,0.977232625288712,1.70525600143771,0.0881466896088696,0.155331666444898
"g2837",2.70808289379601,0.761418721236745,1.73475080751638,1.77335074669102,0.967530734390537,1.83286244421794,0.0668230300206385,0.129609769637346
"g2840",5.11777767235821,6.2887267355902,5.7032522039742,-0.194636748329031,0.495210079606376,-0.393038745260882,0.694290864843049,0.729636581598695
"g2841",6.39827775399365,14.510860127407,10.4545689407003,-1.2515670679154,0.397016761326563,-3.15242878848114,0.00161918310407068,0.0178374050350447
"g2842",3.088507785364,0.726163921317301,1.90733585334065,2.07812279245852,1.00161273339059,2.07477673074682,0.0380072321333482,0.0900335252994887
"g2847",3.77362961959606,4.47124548128798,4.12243755044202,-0.272142866304341,0.522400753613363,-0.520946542327844,0.602404011696438,0.660236106221215
"g2855",2.25112631572386,0.620351643571297,1.43573897964758,1.5429052211313,0.96090411569006,1.60568072915713,0.108344077565153,0.174924236962732
"g2871",2.33713823580724,2.23551390307844,2.28632606944284,0.0229329869784924,0.699809261820279,0.0327703393333795,0.973857731286568,0.973857731286568
"g2872",2.25190203695597,0.238391516006718,1.24514677648134,2.46888590696959,1.0455664686263,2.3612902489244,0.0182114708142635,0.0533317627606852
"g2887",2.46254020871418,0.897520468068178,1.68003033839118,1.35089508611715,0.888931676290123,1.51968382064524,0.128590459862335,0.193555431771952
"g2901",3.35978709264298,0.168572528565159,1.76417981060407,3.02657478491861,1.06778256366171,2.83444859273568,0.0045904842940433,0.0284646382932953
"g2923",3.84491877281075,0.258004815942663,2.0514617943767,3.27464719716762,0.977902377054412,3.34864427575209,0.000812079871357012,0.0110826450534062
"g2945",1.21288275187999,1.57527516775393,1.39407895981696,-0.202477273556867,0.97581669462143,-0.207495193178077,0.835623146278465,0.859413129090663
"g2958",1.68068020093813,0.944596744546525,1.31263847274233,1.12571213038689,1.06245313679444,1.05954050244824,0.289353693716287,0.363584010995607
"g2960",2.21845833381412,0.42596082454989,1.322209579182,2.39210511773301,1.05539508137333,2.26654942774633,0.0234177644468459,0.0626642030105414
"g2962",2.24958578999469,0.169248474562205,1.20941713227845,2.45050464709437,1.02850032851647,2.38259977090045,0.0171908729246768,0.0522964450024377
"g2974",3.77577959944924,0.615757289411082,2.19576844443016,2.35563691144687,0.914858106427149,2.57486586706488,0.0100278966842078,0.039992150063192
"g2976",3.61057150796689,0.487564852246044,2.04906818010647,2.76747843542295,0.960966585978656,2.87989038932558,0.00397813449710001,0.0262292623579454
"g2979",1.37141433639239,1.86741669900603,1.61941551769921,-0.390844239550964,0.957599877621918,-0.408149842835796,0.683163669105648,0.725861398424751
"g2991",12.9679593975774,2.91588440457707,7.94192190107726,2.26286888705988,0.53463225918751,4.23257079641771,2.310351522024e-05,0.000741879544294372
"g2995",46.6046241361734,11.5389667067982,29.0717954214858,1.91144504206512,0.364637966756954,5.24203515905182,1.58815098297582e-07,2.29487817040006e-05
