"gene_id","baseMean_clay","baseMean_sandy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g4046",4.71520835816587,0.7865233327048,2.75086584543533,2.60561142707266,0.950047672189502,2.74261124293658,0.00609528001256385,0.0332365268609614
"g2738",2.29757879297992,0.16983408031904,1.23370643664948,2.5829566146893,1.05045145490447,2.45890145863446,0.0139362864250146,0.0471210336087035
"g1290",6.06352277979259,1.0735199104669,3.56852134512974,2.57444902314026,0.827758913152256,3.11014352395951,0.00186996457750944,0.0178374050350447
"g5948",3.33965790967496,0.3814342025477,1.86054605611133,2.56819617453815,0.966902876233704,2.65610563135548,0.0079048849154178,0.0373281584848252
"g1582",3.46320229304233,0.430431058777713,1.94681667591002,2.54734231797193,0.949389500344985,2.68313723402912,0.00729350546031998,0.0357258148819063
"g5173",3.33030919413497,0.494907480640327,1.91260833738765,2.5445548518181,0.999848092992098,2.54494144625849,0.0109296063878437,0.0415612663958794
"g2106",2.64100731492253,0.230578569097833,1.43579294201018,2.53876426791325,1.04266411089234,2.4348821843887,0.0148966391273195,0.0483653637684908
"g3191",2.4583183683599,0.169350455728115,1.31383441204401,2.51855136208063,1.03505473097204,2.43325428764082,0.0149637878045611,0.0483653637684908
"g899",2.34784453387643,0.286519147207867,1.31718184054215,2.51415626673292,1.01981197525247,2.46531353596873,0.0136893405385602,0.0470978501862369
"g3101",2.24424442520121,0.197454551925911,1.22084948856356,2.51038042588871,1.02185279059753,2.45669478910046,0.0140221760911713,0.0471210336087035
"g2147",3.13369827936348,0.48969406669828,1.81169617303088,2.49919933632434,1.02346214639771,2.44190695779107,0.0146099114195056,0.0483653637684908
"g4852",2.25541514815384,0.286228073172709,1.27082161066328,2.48436901855903,1.02200069414394,2.43088779958218,0.0150618779901875,0.0483653637684908
"g3614",4.36241857407097,0.657440424504867,2.50992949928792,2.44805973352217,0.981661395089286,2.49379240720729,0.0126386437082571,0.0450934324899544
"g4424",6.84140669568871,1.33410995731634,4.08775832650252,2.4480125453628,0.736092333374258,3.32568678461991,0.0008820098139389,0.0110826450534062
"g3167",3.24889578611728,0.542777307220492,1.89583654666889,2.42566419606501,0.952489773725356,2.54665641876427,0.0108760456902901,0.0415612663958794
"g6145",5.34964410596648,1.06999885459364,3.20982148028006,2.42406667924349,0.818296923987827,2.96233140829886,0.00305318961729822,0.0232203105105049
"g3201",11.271343736931,2.19082591790731,6.73108482741913,2.4003774235062,0.632944944705038,3.79239528427676,0.000149201171764776,0.00287460924266801
"g828",5.41169282975361,0.97633834341457,3.19401558658409,2.39888019282929,0.826529375692506,2.90235321741516,0.00370370679601435,0.0261066161962962
"g4461",4.11812402714795,0.680525399089611,2.39932471311878,2.38522882813769,0.950162639130799,2.51033742004387,0.0120615848758847,0.0441240256851985
"g2120",5.11347911627711,1.0052565750926,3.05936784568485,2.37737071580511,0.847055807565184,2.80662819919591,0.0050062987423898,0.028936406731013
"g2974",3.77577959944924,0.615757289411082,2.19576844443016,2.35563691144687,0.914858106427149,2.57486586706488,0.0100278966842078,0.039992150063192
"g5510",5.04127167240286,1.05183797389839,3.04655482315063,2.35512193032013,0.853310814938905,2.75998134453359,0.00578046623041567,0.0321260527036563
